Date,Description,Comments,Check Number,Amount,Balance
05/18/18,NITTO TIRE NORTH : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE NORTH Entry Class Code: PPD,,,153.91,0
05/21/18,9H7YO56P3F5173Z : TRANSFER  ID: 6192912998CO: 9H7YO56P3F5173Z Entry Class Code: WEB,,,49.14,0
05/22/18,AAA INSURANCE : PAYMENT  ID: XXXXXX5765 CO: AAA INSURANCE Entry Class Code: PPD,,,-218.84,0
05/25/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2040.66,0
05/29/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,94.83,0
05/29/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,15.31,0
05/30/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,194.95,0
05/30/18,SO CAL GAS : PAID SCGC  ID: XXXXXX2494 CO: SO CAL GAS Entry Class Code: WEB,,,-24.15,0
06/01/18,CALIBER HOME LOA : DRAFT PMT  ID: XXXXXX1491 CO: CALIBER HOME LOA Entry Class Code: PPD,,,-1919.46,0
06/04/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,4.72,0
06/04/18,SO CALIF EDISON : PAYMENTS  ID: XXXXXX8600 CO: SO CALIF EDISON Entry Class Code: PPD,,,-74.71,0
06/04/18,VENMO : PAYMENT  ID: XXXXXX1992  CO: VENMO Entry Class Code: WEB,,,-201.7,0
06/06/18,VENMO : CASHOUT  ID: XXXXXX1992  CO: VENMOEntry Class Code: PPD,,,9.93,0
06/08/18,NITTO TIRE USA : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE USA Entry Class Code: PPD,,,2008.17,0
06/15/18,44100 LEARNING L : PAYROLL  ID: 5014544100CO: 44100 LEARNING L Entry Class Code: PPD,,,185.53,0
06/15/18,NITTO TIRE NORTH : DIRECT DEP  ID: 9111111101DATA: XXXXXX5043        03 CO: NITTO TIRE NORTH Entry Class Code: PPD,,,138.34,0
06/15/18,FIRST BAPTIST CH : Payroll  ID: 1951916043DATA: S0200187  CO: FIRST BAPTIST CH Entry Class Code: PPD,,,98.8,0
